# x	y	u	v	flags	mask
2.2793e-01	1.0961e+01	2.4429e-04	3.9081e-03	0.0000e+00	0.0000e+00
3.7298e-01	1.0961e+01	2.8155e-02	6.9584e-03	0.0000e+00	0.0000e+00
5.1803e-01	1.0961e+01	-1.7604e-03	2.8888e-03	0.0000e+00	0.0000e+00
6.6308e-01	1.0961e+01	-3.1020e-02	1.6974e-03	0.0000e+00	0.0000e+00
8.0812e-01	1.0961e+01	-2.0303e-03	-2.9147e-03	1.0000e+00	0.0000e+00
9.5317e-01	1.0961e+01	-4.1762e-03	-2.7001e-03	1.0000e+00	0.0000e+00
1.0982e+00	1.0961e+01	-4.6021e-03	-2.0355e-03	1.0000e+00	0.0000e+00
1.2433e+00	1.0961e+01	-6.5339e-04	-1.0541e-03	1.0000e+00	0.0000e+00
1.3883e+00	1.0961e+01	-9.6428e-04	-5.7669e-04	1.0000e+00	0.0000e+00
1.5334e+00	1.0961e+01	1.9208e-03	-1.1490e-02	0.0000e+00	0.0000e+00
1.6784e+00	1.0961e+01	2.8089e-03	-7.4386e-03	0.0000e+00	0.0000e+00


#These are the velocities

